ID,SPECIES,MPCR,MPCRGroup,CARBA5,CARBA5Group,mCIMeCIM,CPO,Name,FirstAll_mCIM,Conventional_mCIM,FirstAll_mCIM_All,FirstAll_MPCR,Conventional_MPCR
33302,KP,KPC,KPC/OXA,KPC,KPC/OXA,mCIM(+)/eCIM(-),Class Unknown,Klebsiella pneumoniae,(+),(+),(+),KPC,KPC
33303,KP,KPC,KPC/OXA,KPC,KPC/OXA,mCIM(+)/eCIM(-),Class A or D,Klebsiella pneumoniae,(+),(+),(+),KPC,KPC
33304,KP,KPC,KPC/OXA,KPC,KPC/OXA,mCIM(+)/eCIM(-),Class A or D,Klebsiella pneumoniae,(+),(+),(+),KPC,KPC
33305,KP,KPC,KPC/OXA,KPC,KPC/OXA,mCIM(+)/eCIM(-),Class A or D,Klebsiella pneumoniae,(+),(+),(+),KPC,KPC
33310,KP,KPC,KPC/OXA,Negative,Negative,mCIM(-)/eCIM(-),Negative,Klebsiella pneumoniae,(-),(-),(-),KPC,Negative
33313,KP,KPC,KPC/OXA,KPC,KPC/OXA,mCIM(+)/eCIM(-),Class A or D,Klebsiella pneumoniae,(+),(+),(+),KPC,KPC
33315,KP,KPC,KPC/OXA,KPC,KPC/OXA,mCIM(+)/eCIM(+),Class Unknown,Klebsiella pneumoniae,(+),(-),(+),KPC,KPC
33319,KP,KPC,KPC/OXA,KPC,KPC/OXA,mCIM(+)/eCIM(-),Class A or D,Klebsiella pneumoniae,(+),(+),(+),KPC,KPC
33336,KP,KPC,KPC/OXA,KPC,KPC/OXA,mCIM(-)/eCIM(-),Class Unknown,Klebsiella pneumoniae,(-),(+),(-),KPC,KPC
33337,KP,KPC,KPC/OXA,KPC,KPC/OXA,mCIM(+)/eCIM(-),Class A or D,Klebsiella pneumoniae,(+),(+),(+),KPC,KPC
33360,KP,KPC,KPC/OXA,KPC,KPC/OXA,mCIM(+)/eCIM(-),Class A or D,Klebsiella pneumoniae,(+),(+),(+),KPC,KPC
33363,KP,KPC,KPC/OXA,KPC,KPC/OXA,mCIM(+)/eCIM(-),Class Unknown,Klebsiella pneumoniae,(+),(+),(+),KPC,KPC
33364,KP,KPC,KPC/OXA,KPC,KPC/OXA,mCIM(+)/eCIM(-),Class Unknown,Klebsiella pneumoniae,(+),(+),(+),KPC,KPC
33365,KP,KPC,KPC/OXA,KPC,KPC/OXA,mCIM(+)/eCIM(-),Class Unknown,Klebsiella pneumoniae,(+),(+),(+),KPC,KPC
33373,KP,KPC,KPC/OXA,KPC,KPC/OXA,mCIM(+)/eCIM(-),Class Unknown,Klebsiella pneumoniae,(+),(+),(+),KPC,KPC
33374,KP,KPC+OXA+NDM,Others,Negative,Negative,mCIM(-)/eCIM(-),Negative,Klebsiella pneumoniae,(-),(+),(-),KPC+OXA+NDM,KPC
33378,KP,KPC+OXA,Others,Negative,Negative,mCIM(-)/eCIM(-),Negative,Klebsiella pneumoniae,(-),(-),(-),KPC+OXA,Negative
33381,KP,KPC+OXA,Others,Negative,Negative,mCIM(-)/eCIM(-),Negative,Klebsiella pneumoniae,(-),(-),(-),KPC+OXA,Negative
33389,KP,KPC+OXA+NDM,Others,NDM,IMP/NDM/VIM,mCIM(-)/eCIM(-),Negative,Klebsiella pneumoniae,(-),(-),(-),KPC+OXA+NDM,NDM
33390,KP,KPC+OXA,Others,Negative,Negative,mCIM(-)/eCIM(-),Class A or D,Klebsiella pneumoniae,(-),(-),(-),KPC+OXA,KPC
33395,KP,KPC+OXA,Others,Negative,Negative,mCIM(-)/eCIM(-),Negative,Klebsiella pneumoniae,(-),(-),(-),KPC+OXA,Negative
33397,KP,KPC+OXA+NDM,Others,Negative,Negative,mCIM(-)/eCIM(-),Negative,Klebsiella pneumoniae,(-),(-),(-),KPC+OXA+NDM,Negative
33399,KP,KPC+NDM,Others,KPC+NDM,Others,mCIM(+)/eCIM(-),Class Unknown,Klebsiella pneumoniae,(+),(+),(+),KPC+NDM,KPC
33402,KP,KPC,KPC/OXA,KPC,KPC/OXA,mCIM(+)/eCIM(-),Class Unknown,Klebsiella pneumoniae,(+),(+),(+),KPC,KPC
32955,KP,OXA,KPC/OXA,OXA,KPC/OXA,mCIM(+)/eCIM(-),Class A or D,Klebsiella pneumoniae,(+),(+),(+),OXA,OXA
32960,KP,OXA+NDM,Others,OXA+NDM,Others,mCIM(+)/eCIM(+),Class A or D,Klebsiella pneumoniae,(+),(+),(+),OXA+NDM,OXA+NDM
32984,KP,OXA,KPC/OXA,OXA,KPC/OXA,mCIM(+)/eCIM(-),Class A or D,Klebsiella pneumoniae,(+),(+),(+),OXA,OXA
32988,KP,OXA,KPC/OXA,OXA,KPC/OXA,mCIM(+)/eCIM(+),Class A or D,Klebsiella pneumoniae,(+),(+),(+),OXA,OXA
32993,KP,OXA,KPC/OXA,OXA,KPC/OXA,mCIM(+)/eCIM(-),Class A or D,Klebsiella pneumoniae,(+),(+),(+),OXA,OXA
32995,KP,OXA,KPC/OXA,OXA,KPC/OXA,mCIM(+)/eCIM(-),Class A or D,Klebsiella pneumoniae,(+),(+),(+),OXA,OXA
33013,KP,OXA,KPC/OXA,OXA,KPC/OXA,mCIM(+)/eCIM(+),Class A or D,Klebsiella pneumoniae,(+),(+),(+),OXA,OXA
33021,KP,OXA,KPC/OXA,Negative,Negative,mCIM(-)/eCIM(-),Negative,Klebsiella pneumoniae,(-),(+),(-),OXA,OXA
33025,KP,OXA,KPC/OXA,OXA,KPC/OXA,mCIM(+)/eCIM(+),Class A or D,Klebsiella pneumoniae,(+),(+),(+),OXA,OXA
33040,KP,OXA,KPC/OXA,OXA,KPC/OXA,mCIM(+)/eCIM(+),Class A or D,Klebsiella pneumoniae,(+),(+),(+),OXA,OXA
33043,KP,OXA+NDM,Others,OXA+NDM,Others,mCIM(+)/eCIM(+),Class A or D,Klebsiella pneumoniae,(+),(+),(+),OXA+NDM,OXA+NDM
